error_id,entity_type,entity_id,context,url,error_name,description,occurred_at,resolved
239,fight,dd42bc42222ffa64,,http://ufcstats.com/fight-details/dd42bc42222ffa64,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:28:48,0
240,fight,d4ce05bd60e091d7,,http://ufcstats.com/fight-details/d4ce05bd60e091d7,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:28:48,0
241,fight,d68458d7ceeae267,,http://ufcstats.com/fight-details/d68458d7ceeae267,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:29:16,0
242,fight,1e440a1425f1d0a7,,http://ufcstats.com/fight-details/1e440a1425f1d0a7,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:29:16,0
243,fight,4fac31dde3f19b17,,http://ufcstats.com/fight-details/4fac31dde3f19b17,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:29:26,0
244,fight,4b334c9727eee450,,http://ufcstats.com/fight-details/4b334c9727eee450,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:29:41,0
245,fight,1206dc7d5228f5bd,,http://ufcstats.com/fight-details/1206dc7d5228f5bd,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:29:49,0
246,fight,3c28c251bac3034b,,http://ufcstats.com/fight-details/3c28c251bac3034b,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:30:03,0
247,fight,3459dd26c5ceb7d5,,http://ufcstats.com/fight-details/3459dd26c5ceb7d5,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:30:10,0
248,fight,6789480d7daea557,,http://ufcstats.com/fight-details/6789480d7daea557,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:30:33,0
249,fight,b51131ac1f50b067,,http://ufcstats.com/fight-details/b51131ac1f50b067,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:30:40,0
250,fight,e8e483c38c643e66,,http://ufcstats.com/fight-details/e8e483c38c643e66,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:30:42,0
251,fight,4e0b7cd687a2eaf7,,http://ufcstats.com/fight-details/4e0b7cd687a2eaf7,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:30:48,0
252,fight,3b41b638b6358274,,http://ufcstats.com/fight-details/3b41b638b6358274,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:31:02,0
253,fight,da7d61dfe3989093,,http://ufcstats.com/fight-details/da7d61dfe3989093,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:31:03,0
