fight_id,bonus_type
b60bbec8ec98941b,Fight of the Night
7099374e91f9283b,Fight of the Night
fef6b147d5fb90bd,Knockout of the Night
546f971f9d8e0a33,Performance of the Night
9b6806203bc4875a,Submission of the Night
74e92a66b29674a9,Submission of the Night
a23d84f15207e459,Fight of the Night
c0d8a231d2f1d1af,Fight of the Night
a049c12f43914449,Performance of the Night
fbbb703581440496,Performance of the Night
0e809b7e37681783,Performance of the Night
c770192a9f3261cd,Performance of the Night
385101e8ad828c39,Performance of the Night
0e969ae805006d1f,Performance of the Night
357a5bc5de4f545d,Performance of the Night
afb9cbca1ef429a1,Fight of the Night
ecb9c5ae7fd7a5cc,Submission of the Night
210fc45074fba464,Performance of the Night
f44ab9e9e4a89735,Performance of the Night
fac335e6aeff29f5,Submission of the Night
47245dd345d9ef7e,Submission of the Night
66f0238fac31130f,Submission of the Night
2aeba1cc4004d0bc,Submission of the Night
e50857173607d631,Performance of the Night
41c979b223b3fb56,Knockout of the Night
640f2ae3995b3b4f,Performance of the Night
e2f4cd4a9a579488,Performance of the Night
d9ca00b3c62a874d,Performance of the Night
9b39e15b42422a08,Performance of the Night
f3e2038bfb9b5d9d,Fight of the Night
3b6c18a966a2cea4,Performance of the Night
f3e289f1423c0e6f,Performance of the Night
e15b393a27c07043,Fight of the Night
c8998aa536614a5a,Performance of the Night
8b8f9485214f9e48,Fight of the Night
045c298c72fe196a,Fight of the Night
5d7a720a2e2f4749,Fight of the Night
d90567f7d4372160,Fight of the Night
77785292d4df807c,Submission of the Night
90d50fb7e2bf789e,Submission of the Night
db51d17ea03da745,Submission of the Night
bb59b82bddc96cca,Fight of the Night
d0ee52e17db605ab,Performance of the Night
f78f34ef2ee7b02c,Performance of the Night
17ddee22d105eecd,Fight of the Night
9b8c29f50d452025,Submission of the Night
7360ec204d4e0e10,Knockout of the Night
16a0352f3e19b931,Performance of the Night
1bde9cb65d31cc76,Performance of the Night
fccedc456048216b,Performance of the Night
b1eff235241e719b,Performance of the Night
6921344f8e706d0f,Performance of the Night
f2916c10b7ecfcee,Performance of the Night
19df0d0cb1269fa7,Fight of the Night
e27504d07ebbc441,Performance of the Night
2ab2753040f455e0,Fight of the Night
796a7e1fa80af990,Knockout of the Night
a97a7707d5021181,Fight of the Night
fb98219ce569b384,Performance of the Night
3b83ec99accfd271,Performance of the Night
223f9a750428e1d0,Performance of the Night
92d0c39f0df77c7e,Submission of the Night
5755a68d39867abc,Knockout of the Night
f0b42c9e55025ad3,Submission of the Night
f114929ed709606e,Performance of the Night
3e2f00991f511607,Performance of the Night
8a6ecf3dc2b17c19,Performance of the Night
e3d9bbea4c51dec4,Submission of the Night
b2443846570bee7b,Fight of the Night
3b21a9f48bac4a44,Performance of the Night
8c540eb4afe8c43e,Performance of the Night
4a17876e99f6baf3,Performance of the Night
fa3f04be9344804b,Performance of the Night
721b23d896a44e2e,Fight of the Night
c0ca4c201d086ea8,Performance of the Night
b2717e8f7e7a196f,Fight of the Night
5a346087f4120fa3,Performance of the Night
9a8c21272767faef,Fight of the Night
72656e864ca1c972,Performance of the Night
d17339f98fbdc293,Submission of the Night
b15bebf4c6b6f495,Submission of the Night
3c70edc3845fd51b,Fight of the Night
f046dfa306dc7acb,Knockout of the Night
2f1f16c86a8cc6e2,Fight of the Night
e9256316716499b8,Performance of the Night
4c7e55061dc3bf89,Performance of the Night
029a12d36a4687e1,Performance of the Night
dfa8fd0b82b37fa1,Fight of the Night
cb7616f92a9a4e5b,Performance of the Night
520f6379fefd8fda,Performance of the Night
4924d7a980f4cde2,Fight of the Night
300f1489174a3ece,Performance of the Night
0ac4f0c1b4d021f6,Performance of the Night
b5a8323de18f7e95,Fight of the Night
eba86a4ea6128840,Knockout of the Night
bc7a81a81840e4be,Knockout of the Night
6feb49a6b7e8433c,Performance of the Night
9b46a662b8fa1d8d,Performance of the Night
bc276e0f07e30a54,Performance of the Night
8955ea3c7c332e6c,Performance of the Night
727ecd251325b6a8,Performance of the Night
cf4199c8517bc1fd,Performance of the Night
69b147aaaafeb47d,Performance of the Night
1aaa1a9ceecd6063,Performance of the Night
4e8b2357fea211e9,Performance of the Night
aa232e53d285cc6d,Performance of the Night
2b038a467a89c73c,Performance of the Night
3f5f6c576046bf77,Performance of the Night
fc9ec3a01d0129b6,Submission of the Night
b436dda934059631,Performance of the Night
ac656cebef8cf0a4,Performance of the Night
55e12d44e9e524cf,Knockout of the Night
a3723f0f672b0912,Performance of the Night
fc91f1e448f35797,Fight of the Night
a81ad236a2f221f2,Performance of the Night
477af74ea3cbba8b,Performance of the Night
3011439ecaf74180,Performance of the Night
c0982b3919cc74f0,Performance of the Night
8cf6b22995c9efb8,Performance of the Night
c6fc43c351b08bda,Performance of the Night
2a1826612a7d739c,Fight of the Night
fe9a58e79d54695b,Performance of the Night
5a1ce88ec1f75160,Fight of the Night
0f24f3bc1b39ea45,Fight of the Night
1330b5c21269fe92,Performance of the Night
0f51869f98afa6c0,Performance of the Night
cddd3d4febe097f8,Fight of the Night
319f3fad278368e6,Performance of the Night
c258996570faeec9,Fight of the Night
b43dfe6743160a66,Performance of the Night
11f65de5348e4bc4,Performance of the Night
ed499508be1e5532,Performance of the Night
db2c805201a3116e,Performance of the Night
9e1853861f58191f,Fight of the Night
821bef3a3394dd96,Fight of the Night
7513a00037094075,Fight of the Night
7513a00037094075,Performance of the Night
11558384f80f6506,Performance of the Night
98458778348ea5d7,Performance of the Night
dbcc5b5d568efa8b,Fight of the Night
f6454f2e508626ec,Performance of the Night
b873c116e39c9920,Fight of the Night
d325a1483d78ae75,Performance of the Night
18aff757c54687f1,Performance of the Night
6712440cd01dffdb,Performance of the Night
7679c5ee3514e119,Performance of the Night
c910d2fe570b368a,Performance of the Night
80faf0c138d20999,Performance of the Night
5d7c91acbcddda2f,Performance of the Night
32e9bc4d0a19a923,Performance of the Night
b9de363e6b406853,Performance of the Night
ad7bd4b3ee923498,Performance of the Night
acc57a9c114b694a,Performance of the Night
dfa2f5c821a52c63,Performance of the Night
83d59f5e52e0ac46,Fight of the Night
8104fe27bdc46914,Performance of the Night
2ba11e0bf32829d6,Performance of the Night
e8206c7380441fbb,Performance of the Night
8d2f3e0abb22689f,Knockout of the Night
798ca95afb5875ef,Knockout of the Night
354a92ca4fd824a1,Fight of the Night
7ee462ee20361982,Knockout of the Night
abb8c6c0a057184e,Fight of the Night
c2ee423d1f0b4f6f,Fight of the Night
dfe14e13aa727a0c,Fight of the Night
39fa341fb9161d6f,Fight of the Night
0b557aeb2169b59f,Performance of the Night
30a2c7e5b90e6d74,Performance of the Night
a815119606930378,Performance of the Night
81af3b60203d92df,Performance of the Night
65352221c0bfe52d,Performance of the Night
17aa636aa98678d3,Fight of the Night
9fa6a029f7f8241c,Performance of the Night
f3efc6121c5323ff,Performance of the Night
dad034faf3d62cb9,Performance of the Night
75bc89630027c601,Performance of the Night
cc4a23ed2cbc8aa4,Fight of the Night
fa96d6252579b51e,Fight of the Night
cb3eb07b7152366e,Performance of the Night
f10c2c84652ef573,Performance of the Night
163fbb2185730846,Performance of the Night
9c3f3bc7f7472e0c,Performance of the Night
2a50b91600e87994,Submission of the Night
4e69c86d09c9f782,Fight of the Night
4efbd869aa0211d2,Performance of the Night
d5e7fe1f5035505c,Fight of the Night
c556a9d615f11483,Fight of the Night
4b155647201d549e,Performance of the Night
e7423a91a253b416,Performance of the Night
23e96ddeb14b5936,Performance of the Night
9ef858837dfc65eb,Performance of the Night
c634ed84212723ca,Performance of the Night
2361b51aa72e5551,Performance of the Night
8f9cfe0e283a6ccb,Performance of the Night
6453b20a65c62cfe,Fight of the Night
1c4e4b3358089960,Fight of the Night
43b494c32b7f18cb,Fight of the Night
5ab4bdec4db84f7d,Fight of the Night
063599b1d4107289,Fight of the Night
9f14f080b08e6869,Fight of the Night
9caaca5748ea9086,Knockout of the Night
6ff8fff0fe2a3cd9,Performance of the Night
44e24628e8eda0b1,Knockout of the Night
4000e1f32058796a,Fight of the Night
964eb53864554ed0,Knockout of the Night
