event_id,fight_id,weight_class,title_fight,r_id,b_id,winner_id,result_status,method,round,time,time_format,referee,details
a9df5ae20a97b090,3d3dde60e3d59c1c,Flyweight,0,077e3ace32b72be9,8d3273573b85be09,8d3273573b85be09,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Dave Tirelli 27 - 30. Michael  Tate 27 - 30. Sal D'amato 27 - 30.
00e11b5c8b7bfeeb,836a188a90e479a5,Featherweight,0,040a74bb0a465c54,52ef95b5860fb28c,52ef95b5860fb28c,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Ron McCarthy 27 - 30. Chris Lee 28 - 29. Mike Bell 28 - 29.
883922e5cd6d8473,0730c4e6fb247fa1,Light Heavyweight,0,d156513a19acf856,2f181c0467965b98,2f181c0467965b98,win,Submission,2,2:10,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke
9114c8ded5ccd71d,71b81d8199a0fa19,Featherweight,0,040a74bb0a465c54,94426bb170c88115,040a74bb0a465c54,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29. Sal D'amato 28 - 29. Rick Winter 28 - 29.
c0231720fe516994,7ec86f2af631344f,Featherweight,0,040a74bb0a465c54,87a1dc546b1c5caf,040a74bb0a465c54,win,Decision - Split,3,5:00,3 Rnd (5-5-5),Neil Hall,Howard Hughes 29 - 28. Mark Collett 27 - 30. Paul Sutherland 27 - 30.
b8e2f10efb6eca85,8e1feda9141602f1,Middleweight,0,7acbb0972e75281a,2f181c0467965b98,2f181c0467965b98,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bassel Mahgoub,Todd Maxwell 27 - 30. Junichiro Kamijo 27 - 30. Derek Cleary 28 - 29.
194fc025f9355db6,cd7fd3f034717d3c,Featherweight,0,f2ad06f1007c481a,040a74bb0a465c54,040a74bb0a465c54,win,Submission,3,1:41,3 Rnd (5-5-5),Wolf Menninger,Guillotine Choke On Ground
80eacd4da0617c57,8cc4c597aecbfef5,Featherweight,0,040a74bb0a465c54,c07efc18b231f170,040a74bb0a465c54,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Pawel Harasim 26 - 30. Anders Ohlsson 27 - 30. Paul Sutherland 28 - 29.
27541033b97c076d,f5dd0a24a7dba53c,Middleweight,0,37d5b176d438d2a5,2f181c0467965b98,2f181c0467965b98,win,Submission,1,4:55,3 Rnd (5-5-5),Dan Miragliotta,Ankle Lock On Ground
ba17afef01ed78b6,419fff06f338f5c6,Middleweight,0,2f181c0467965b98,4144798612ef96e5,2f181c0467965b98,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Junichiro Kamijo 27 - 30. Ron McCarthy 27 - 30. Sal D'amato 28 - 29.
6e4acc2c115215b5,c0af8cf5befb2dcf,Heavyweight,0,41e83a89929d1327,c0badf3243907e59,41e83a89929d1327,win,Submission,1,2:27,3 Rnd (5-5-5),Vitor Ribeiro,Rear Naked Choke
39f68882def7a507,54d48b33e7240452,Heavyweight,0,41e83a89929d1327,e2f6b2769aaedd6c,41e83a89929d1327,win,KO/TKO,1,4:53,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Back Control
901cddcbfa079097,755202fce24b8f83,Heavyweight,0,2cd428e9606856fd,41e83a89929d1327,41e83a89929d1327,win,Submission,1,3:43,5 Rnd (5-5-5-5-5),Dan Miragliotta,Rear Naked Choke
3be081c29bf734d9,a9d8ddb49dbe414b,Bantamweight,0,c945adc22c2bfe8f,2b074403b7c6cdb4,2b074403b7c6cdb4,win,KO/TKO,2,0:29,3 Rnd (5-5-5),John McCarthy,Flying Knee Head
9f3d6ddef3d3cccc,7c23770c639dcd22,Bantamweight,0,9c907996820d2d69,2b074403b7c6cdb4,9c907996820d2d69,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Cardo Urso 28 - 29. Doug Crosby 26 - 30. Bryan Miner 27 - 30.
7956f026e2672c47,b42a3386a7dccb3d,Heavyweight,0,279566840aa55bf2,41e83a89929d1327,279566840aa55bf2,win,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Tony Weeks 28 - 29. Mike Bell 29 - 28. Clemens Werner 28 - 29.
93bf96be327fcd98,301f230c90c4bd7d,Catch Weight,0,41e83a89929d1327,82529ce93cd9a2cf,41e83a89929d1327,win,Submission,1,4:27,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke
1411c630ba711b64,a8cf22bc7d05c0a1,Welterweight,0,91186547a7f3f758,f5990c11974d8e9c,f5990c11974d8e9c,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Tony Tamburrino 28 - 29. Doug Crosby 28 - 29. Cardo Urso 28 - 29.
597db668b01c442c,96828ec042f211bf,Middleweight,0,91186547a7f3f758,42078a86d3dd037b,91186547a7f3f758,win,Submission,1,1:08,3 Rnd (5-5-5),Herb Dean,Guillotine Choke After Drop to Guard
a780d16cf7eed44d,9124740fe7816d70,Middleweight,0,2f181c0467965b98,12ebd7d157e91701,2f181c0467965b98,win,Submission,1,4:39,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke
